,id,lai,wetness,treeSpecies,Sentinel_2A_B2,Sentinel_2A_B3,Sentinel_2A_B4,Sentinel_2A_B5,Sentinel_2A_B6,Sentinel_2A_B7,Sentinel_2A_B8,Sentinel_2A_B8a,Sentinel_2A_B11,Sentinel_2A_B12
51,51,5.9,0.72,predominantly_oak,0.030196146020529006,0.1071211270894132,0.031226656257402688,0.15707670254065978,0.4381135247064047,0.5005041924090494,0.5057880149040168,0.5075273444915595,0.2341036801351096,0.09241671030331775
52,52,6.8,0.92,mixed,0.034629379957152914,0.12323051134074874,0.03777627475340329,0.17604295228840222,0.4460375703748933,0.5027935434261408,0.5085605254696282,0.5104984956712761,0.23814197960640746,0.09648015819116666
53,53,5.0,0.55,mixed,0.030519045962943324,0.1109093559322627,0.03217903563089133,0.16171350529311218,0.4506814273737004,0.5134206601665614,0.5176960206308497,0.5190258126524848,0.2447289195260302,0.09953031128249372
54,54,5.4,0.69,oak,0.031725157930719804,0.1084761169810274,0.032306456643277644,0.15838224141412055,0.42021982273094927,0.47556497465433845,0.481631332095954,0.4837225389495721,0.22014501395447397,0.08364858441565802
55,55,6.6,0.21,predominantly_pine,0.027249831815399618,0.1013932676424002,0.028367416726591176,0.15105898266627552,0.4597242943806553,0.5325187250305549,0.5359741235302542,0.5368834382758118,0.24434524102325214,0.09807714155707656
56,56,5.3,0.72,predominantly_oak,0.03231888270614399,0.11195542042313922,0.03311909464822855,0.16186589720667172,0.43231167359196027,0.48838863346300304,0.49259540699051685,0.49392228854270337,0.2261475575192536,0.08793097645939474
57,57,3.1,0.43,predominantly_pine,0.030706629358773354,0.1080462164598108,0.031623402906928486,0.15752860053501475,0.4306090675462003,0.4846870659183498,0.48854255399477037,0.48982970458933334,0.2522928418281032,0.10434684716621911
58,58,2.7,0.89,predominantly_oak,0.03236223923872673,0.11004418226881324,0.03369644790981022,0.1614074325861794,0.41950144806709766,0.47131473544330127,0.4788264521537509,0.48166888809624214,0.23995012882981162,0.09523235279089393
59,59,5.5,0.66,mixed,0.03408237217024307,0.11829853745566471,0.03597078508091433,0.16951092372952414,0.42867046129312536,0.48076117531427176,0.4859186495343665,0.4876758125321214,0.23063756927907492,0.09058791922663033
60,60,4.0,0.64,oak,0.03673083995179274,0.12325954695670215,0.03889217779901303,0.17519448787551922,0.42039857003950587,0.46779993050235297,0.47395893486123053,0.47616562570591625,0.2297351102089771,0.0908036161148506
61,61,5.1,0.05,mixed,0.03129571574849151,0.11487901409014854,0.03396851787870193,0.1653888299379772,0.43751111766742695,0.4922495608604154,0.49577018469357054,0.4968435924392951,0.23778840291536454,0.09500845173935217
62,62,3.8,0.81,predominantly_beech,0.034617432418800435,0.11568049072490573,0.03509792416522365,0.166875898486599,0.4221544413122155,0.47260646338423495,0.47850644864743974,0.4805793682667412,0.22288958100395265,0.08549399440291659
63,63,6.0,0.52,beech,0.04526253683803971,0.1520895411507445,0.05139991698546904,0.20689102821266267,0.45732009143411195,0.501655860980275,0.5049094947238132,0.5058674344475319,0.24231493035894394,0.10159030672149132
64,64,4.5,0.48,predominantly_oak,0.032545773708690946,0.11200108237800543,0.03343544126406866,0.16223341064184388,0.42436728878055796,0.4774576242199476,0.4825519313247725,0.4842815927037719,0.22894959498794382,0.08917901698690983
65,65,3.3,0.52,mixed,0.030356678330272436,0.10366594292545354,0.030548266240418915,0.15268090673804938,0.4213745136659928,0.47735389748706725,0.48299424475661107,0.4849831472726938,0.2397378991219169,0.09589180817872586
66,66,6.0,0.58,mixed,0.03127965696582026,0.10938067614062424,0.03214838809923545,0.16030233367710223,0.4365650343913296,0.4973078619369179,0.5035300619838883,0.5056593025654221,0.23513286613540996,0.09276662778664246
67,67,3.5,0.39,predominantly_beech,0.033505427169441354,0.11783470037001885,0.03508733469532439,0.16891622112664012,0.44196688056182065,0.4948058007026592,0.49816232910785574,0.49918415867478233,0.24504445347015533,0.100905158365095
68,68,3.4,0.47,mixed,0.03477066668346523,0.12139021719651,0.03722269031944363,0.17372118725837216,0.44205192399061977,0.49549541536830566,0.5009089547871085,0.5027661973623861,0.24961327417983697,0.10479396207221475
69,69,5.7,0.1,predominantly_oak,0.03457160653318161,0.12272508501110331,0.037892082165768066,0.17432722169823942,0.4334665916878006,0.48488269758030117,0.48964051925996244,0.4912321012886451,0.23609152214203552,0.09493250720829809
70,70,5.1,0.42,predominantly_oak,0.02972824635135844,0.1030865185499062,0.030317652395708994,0.15280222417739955,0.428394560220885,0.4911474168644239,0.49851150390895477,0.5011363701004511,0.23873520810968044,0.09507077792566922
71,71,4.3,0.52,mixed,0.03654738289144565,0.12843999752566795,0.03905133703091615,0.18118481943126208,0.4474228147593077,0.49658602344510616,0.4995496194376754,0.5004107913385895,0.23967336247084445,0.09663157371199763
72,72,6.1,0.59,predominantly_oak,0.03773073469106725,0.12513333241411703,0.03858811967924835,0.17695285341001085,0.4453774976453309,0.49969960663467106,0.5037772442240179,0.5050566743488959,0.2388600754530613,0.09764624870073042
73,73,4.8,0.46,mixed,0.032588357945508975,0.11623332309096421,0.03477757777770158,0.16714014485626139,0.43731717932856573,0.49235271519075274,0.4968172769818296,0.4983006935900611,0.24300434095424964,0.09852980396128494
74,74,4.2,0.6,pine,0.029644156610497435,0.10566432165825505,0.03047615801077881,0.1566242024463943,0.45489499425932695,0.52391684946743,0.5304524502598823,0.5327258973948696,0.2641043119280547,0.11217669628455809
75,75,2.5,0.62,mixed,0.03182749712974052,0.11208752881562864,0.033847846971268775,0.16383677820878229,0.4208416026708741,0.46918868426530613,0.4751131043674917,0.47729524208732893,0.2499596243844476,0.10191703477172326
76,76,1.0,0.32,predominantly_beech,0.04043428241947601,0.11164501321880431,0.0457511316184467,0.15814666101933153,0.3370016913693537,0.36575524347564337,0.37153773648308736,0.3737714793218121,0.24596171376071477,0.11979688427756177
77,77,2.4,0.66,pine,0.02986075643534186,0.10448758307934888,0.031678040161768894,0.15504207213393004,0.4243130138034659,0.4791406604162778,0.4860611664609867,0.4886821984948909,0.26955958386650836,0.11570642023137838
78,78,3.9,0.63,mixed,0.037306495521472464,0.1277541884607446,0.04038669285683519,0.181321223400901,0.442303130304719,0.49462575450366997,0.5011616557507325,0.5034807303152398,0.24668577113533519,0.10290172299834416
79,79,2.0,0.37,mixed,0.030979840173002787,0.10812733286477028,0.033046298395448634,0.15772900895741143,0.4000215148520134,0.44190165588131813,0.4460178814577697,0.4474411661304174,0.2378015921546246,0.09699846091703539
80,80,4.5,0.46,oak,0.03797046230397759,0.12370579055592461,0.03947994864995261,0.17571778051252532,0.42506347434550595,0.47562415042832334,0.4825243899415894,0.4850224082038551,0.23829311340639106,0.09738235886918913
81,81,6.6,0.37,predominantly_pine,0.03011503561939847,0.1066840604046096,0.031230338328334065,0.15644848884181167,0.43853516064214204,0.5024394959646193,0.508033849980743,0.5099282961892777,0.24366926489324553,0.09862648875933937
82,82,3.0,0.44,mixed,0.03316738064019897,0.1118755247709066,0.03328271128666109,0.16218862533174103,0.43045832011481794,0.4831285015491664,0.48758312387014957,0.48908040635495187,0.244594227292376,0.10030693296268167
83,83,6.6,0.8,pine,0.027863298050746037,0.09586210444713619,0.027285031016723145,0.1430510255682456,0.44254769222944135,0.5152653986628796,0.5191194763525881,0.520274899990434,0.24314671747411717,0.09777550421175694
84,84,3.3,0.46,beech,0.02844033012973102,0.10141229392415342,0.02919572694002983,0.14976656562237856,0.43394057725378576,0.49379223887045937,0.49755058074123454,0.4987422331960586,0.24510481935009562,0.09959425929333918
85,85,4.9,0.35,mixed,0.030411067187020687,0.10853647801695308,0.0321042646353666,0.158852180979009,0.4304330180240226,0.48888743826234304,0.494918505622888,0.49698905003993893,0.23385592471482375,0.09242841587692865
86,86,7.7,0.12,predominantly_pine,0.029545554755423233,0.10202218347770534,0.029536571972541514,0.1504217426564651,0.43950967582415523,0.5073637424881654,0.5121501954041441,0.5137227133464274,0.24773306021012015,0.10117331207636938
87,87,4.5,0.44,pine,0.026787152459354324,0.09790941539387535,0.027491028264166877,0.14575974544500025,0.45332868135617166,0.5240751089544221,0.5264045558196567,0.527000014448206,0.2619435597105681,0.10966416299981137
88,88,3.2,0.73,predominantly_beech,0.035787274925978094,0.12483946300822203,0.038452697722574244,0.17799889186227788,0.4420868748366663,0.49259287521452094,0.4979644813354752,0.4998581787143351,0.2491938238260223,0.10316848655689004
89,89,5.9,0.52,mixed,0.03136604276735429,0.10887275523575075,0.031643846733309625,0.15794972904977977,0.4497101913061711,0.5147500256095562,0.5176500424632778,0.5184929578845703,0.2566116311852218,0.10771749395609957
90,90,5.5,0.39,predominantly_oak,0.034674745930051,0.12591580648554832,0.03960696045393387,0.17894344567351558,0.43442074810707204,0.4857885085839059,0.4921440554431083,0.494398783815338,0.24126721834235748,0.09815744489829915
91,91,2.8,0.29,mixed,0.031547427397031286,0.10653364036581271,0.031079755745789823,0.15529927742298166,0.421866146079987,0.4724502751411384,0.4754859033781267,0.4764048545258967,0.23769786739710647,0.09558210015109438
92,92,5.8,0.66,mixed,0.03547812401610333,0.12163435955694875,0.03741813983537969,0.1737513712101739,0.4370431818301146,0.49121833713346336,0.49691545071075904,0.4988587453920409,0.23484112893283512,0.09421306371422018
93,93,6.6,0.67,predominantly_beech,0.037611595849050085,0.13043144678678775,0.04063722957191346,0.18388273680391168,0.4597384546350511,0.5168278657250736,0.5214451449385397,0.522919721016579,0.25060342884502396,0.1057660278273874
94,94,0.8,0.51,mixed,0.05267738975273056,0.12338501742824799,0.0642023474404183,0.1734631109578406,0.332049255466095,0.35922141512026656,0.3678770307877209,0.3714035494868971,0.26772682132510506,0.1449784942897944
